2025-01-12 09:18:04,404 INFO    MainThread:2848 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-01-12 09:18:04,405 INFO    MainThread:2848 [wandb_setup.py:_flush():68] Configure stats pid to 2848
2025-01-12 09:18:04,405 INFO    MainThread:2848 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Vidak\.config\wandb\settings
2025-01-12 09:18:04,405 INFO    MainThread:2848 [wandb_setup.py:_flush():68] Loading settings from D:\Exercise 2\cikm-safeultr-master\wandb\settings
2025-01-12 09:18:04,405 INFO    MainThread:2848 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-12 09:18:04,406 INFO    MainThread:2848 [wandb_init.py:_log_setup():528] Logging user logs to D:\Exercise 2\cikm-safeultr-master\wandb\offline-run-20250112_091804-lq666n8p\logs\debug.log
2025-01-12 09:18:04,406 INFO    MainThread:2848 [wandb_init.py:_log_setup():529] Logging internal logs to D:\Exercise 2\cikm-safeultr-master\wandb\offline-run-20250112_091804-lq666n8p\logs\debug-internal.log
2025-01-12 09:18:04,406 INFO    MainThread:2848 [wandb_init.py:init():644] calling init triggers
2025-01-12 09:18:04,406 INFO    MainThread:2848 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {}
2025-01-12 09:18:04,406 INFO    MainThread:2848 [wandb_init.py:init():680] starting backend
2025-01-12 09:18:04,406 INFO    MainThread:2848 [wandb_init.py:init():684] sending inform_init request
2025-01-12 09:18:04,482 INFO    MainThread:2848 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-01-12 09:18:04,482 INFO    MainThread:2848 [wandb_init.py:init():697] backend started and connected
2025-01-12 09:18:04,483 INFO    MainThread:2848 [wandb_init.py:init():790] updated telemetry
2025-01-12 09:18:04,592 INFO    MainThread:2848 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-01-12 09:18:04,727 INFO    MainThread:2848 [wandb_init.py:init():874] starting run threads in backend
2025-01-12 09:18:04,978 INFO    MainThread:2848 [wandb_run.py:_console_start():2374] atexit reg
2025-01-12 09:18:04,978 INFO    MainThread:2848 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-01-12 09:18:04,978 INFO    MainThread:2848 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-01-12 09:18:04,978 INFO    MainThread:2848 [wandb_run.py:_redirect():2314] Redirects installed.
2025-01-12 09:18:04,982 INFO    MainThread:2848 [wandb_init.py:init():916] run started, returning control to user process
2025-01-12 09:18:30,155 WARNING MsgRouterThr:2848 [router.py:message_loop():75] message_loop has been closed
